,ngram,FR_term_frequency,EN_term_frequency,delta
869,harvey,146093,1084806,938713
870,excite,919571,1083527,163956
871,bot,240810,1082471,841661
872,inst,395280,1081997,686717
873,eden,259272,1081895,822623
874,pots,467435,1081257,613822
875,drain,108443,1081196,972753
876,2.2,411624,1080920,669296
877,clan,609445,1080834,471389
878,delhi,183230,1079694,896464
879,costume,1264317,1079582,184735
880,gazette,916507,1077728,161221
881,1875,1197506,1076833,120673
882,secretion,815520,1075902,260382
883,tory,80993,1075002,994009
884,execute,1947240,1073950,873290
885,ernest,980647,1073096,92449
886,agrees,221763,1072358,850595
887,dragon,365740,1071591,705851
888,venerable,653407,1070777,417370
889,tunnel,496885,1070776,573891
890,amplitude,814067,1070137,256070
891,anno,533216,1069864,536648
892,irrigation,885939,1069624,183685
893,"2,000",435305,1069422,634117
894,314,438117,1068710,630593
895,319,466008,1068677,602669
896,1840,1102181,1068623,33558
897,vacant,233647,1067400,833753
898,1883,1187561,1067259,120302
899,satire,403917,1066711,662794
900,obstruction,226301,1066042,839741
901,317,474424,1065182,590758
902,expressive,239163,1064661,825498
903,nigeria,624595,1064576,439981
904,franklin,388589,1064471,675882
905,simulation,412432,1063378,650946
906,iu,248468,1063213,814745
907,imaginative,78628,1063034,984406
908,barons,490255,1062835,572580
909,diocese,1606652,1062519,544133
910,ox,97964,1062321,964357
911,retention,513222,1062018,548796
912,fax,358024,1061466,703442
913,geo,163454,1061146,897692
914,malice,404555,1060767,656212
915,aa,581494,1060765,479271
916,rio,1228373,1060605,167768
917,hesitation,781437,1059530,278093
918,1878,1225491,1059187,166304
919,indulgence,759124,1058259,299135
920,intelligible,644116,1057634,413518
921,bp,394532,1055637,661105
922,violation,1446008,1055393,390615
923,wagner,614347,1055382,441035
924,pearl,59062,1055286,996224
925,accent,1993848,1055246,938602
926,ist,1861522,1054287,807235
927,tony,153322,1053866,900544
928,316,432684,1053095,620411
929,1871,1304745,1052962,251783
930,vale,68667,1052912,984245
931,derives,902853,1052620,149767
932,prevalent,110531,1051557,941026
933,genera,169385,1051074,881689
934,hotels,690526,1050556,360030
935,impatient,235377,1048001,812624
936,aspirations,1280487,1047616,232871
937,abdomen,714223,1047529,333306
938,enzymes,192104,1047502,855398
939,324,446690,1047339,600649
940,median,351130,1046015,694885
941,322,459773,1045881,586108
942,chapman,76282,1045717,969435
943,prohibition,561417,1045217,483800
944,caste,507768,1045102,537334
945,reverend,294696,1044039,749343
946,parental,127124,1042800,915676
947,dam,323242,1042712,719470
948,ser,723869,1042058,318189
949,correspondent,1893525,1041234,852291
950,peru,81084,1041061,959977
951,311,446068,1041012,594944
952,burton,90081,1040811,950730
953,expertise,844645,1040568,195923
954,jersey,286285,1040488,754203
955,constants,615989,1040008,424019
956,nitrate,706236,1038935,332699
957,jet,795705,1038581,242876
958,333,487246,1038214,550968
959,cane,78440,1038092,959652
960,hegel,1178148,1037414,140734
961,tribal,82778,1037125,954347
962,327,451655,1036728,585073
963,narratives,114357,1035567,921210
964,fi,1807318,1035334,771984
965,gradient,214934,1035204,820270
966,script,110149,1034257,924108
967,audiences,316504,1034018,717514
968,consolation,824387,1032608,208221
969,1867,1192984,1032607,160377
970,1876,1061694,1032458,29236
971,1861,1029477,1030898,1421
972,invest,33511,1030407,996896
973,1.2,410082,1030394,620312
974,emily,43547,1030273,986726
975,sheffield,55922,1030266,974344
976,masculine,455352,1029405,574053
977,duncan,90360,1029116,938756
978,canons,1929719,1028816,900903
979,antony,85356,1028283,942927
980,propagation,1195066,1028222,166844
981,318,433051,1027264,594213
982,magazines,143567,1027042,883475
983,diabetes,37168,1025919,988751
984,ussr,36172,1025249,989077
985,xxiii,535933,1025030,489097
986,nutrition,795423,1024867,229444
987,imperative,177348,1024150,846802
988,deficient,59388,1024148,964760
989,charitable,300856,1024140,723284
990,amiable,387328,1023121,635793
991,shopping,28424,1023039,994615
992,coherent,429072,1022850,593778
993,gang,62485,1022798,960313
994,329,428283,1022093,593810
995,persuasion,503140,1020956,517816
996,basil,60927,1020462,959535
997,quotes,31168,1020368,989200
998,ordinance,32256,1019930,987674
999,jo,511055,1019199,508144
1000,halt,22435,1018900,996465
1001,cortex,201490,1018373,816883
1002,geology,67400,1018218,950818
1003,infrastructure,552210,1018173,465963
1004,3.1,325634,1017903,692269
1005,335,467666,1017797,550131
1006,ardent,939737,1017712,77975
1007,fluctuations,783865,1016780,232915
1008,1857,946497,1016336,69839
1009,revolutions,1488243,1016281,471962
1010,deficit,1755597,1015399,740198
1011,constantine,430778,1015398,584620
1012,mortgage,17322,1014057,996735
1013,diana,100741,1013899,913158
1014,rifle,14197,1013561,999364
1015,lust,22061,1013314,991253
1016,anthropology,112509,1013079,900570
1017,elders,16279,1012551,996272
1018,vices,1508209,1012516,495693
1019,mat,634963,1012367,377404
1020,1-2,325198,1010980,685782
1021,devon,27486,1010890,983404
1022,massachusetts,205149,1010329,805180
1023,generic,13066,1010200,997134
1024,palmer,80852,1009949,929097
1025,poorly,10224,1009827,999603
1026,valves,198534,1009592,811058
1027,326,423605,1009325,585720
1028,bbc,61863,1008902,947039
1029,stanford,327233,1008737,681504
1030,unstable,12161,1007977,995816
1031,modelling,26026,1007451,981425
1032,enclosure,11280,1007391,996111
1033,triple,1512236,1007001,505235
1034,1874,995811,1006974,11163
1035,bedford,81286,1006817,925531
1036,kin,92950,1006504,913554
1037,barrel,9073,1006277,997204
1038,granting,12402,1006266,993864
1039,structured,12750,1006212,993462
1040,laden,56584,1006120,949536
1041,marking,11313,1005814,994501
1042,328,440748,1005730,564982
1043,throws,11832,1005408,993576
1044,ruth,116959,1005328,888369
1045,touches,657976,1005189,347213
1046,rabbit,19334,1005151,985817
1047,meaningful,11458,1004958,993500
1048,conflicting,10243,1004915,994672
1049,introductory,17914,1004546,986632
1050,memoir,21237,1004058,982821
1051,1872,1075395,1003781,71614
1052,marxist,14531,1003572,989041
1053,alps,15583,1003537,987954
1054,knock,20980,1003442,982462
1055,1879,1085254,1003354,81900
1056,tor,86455,1003222,916767
1057,chemicals,19327,1003138,983811
1058,rape,76105,1002929,926824
1059,peaks,14348,1002824,988476
1060,1868,949559,1002470,52911
1061,norm,52601,1002323,949722
1062,prompt,510559,1002119,491560
1063,criticisms,7055,1002076,995021
1064,comprised,8526,1001767,993241
1065,comply,11744,1001651,989907
1066,eliminated,12138,1001603,989465
1067,oblong,64133,1001389,937256
1068,brian,90277,1001261,910984
1069,utterance,7992,1001214,993222
1070,downward,8029,1000439,992410
1071,micro,871296,1000179,128883
1072,communal,810000,999908,189908
1073,simpler,6691,999339,992648
1074,tbe,99581,999265,899684
1075,highlands,38954,998800,959846
1076,inputs,60377,998669,938292
1077,1865,975594,998644,23050
1078,rim,25879,998611,972732
1079,socio,1667249,998538,668711
1080,babies,8010,998112,990102
1081,"100,000",327960,998092,670132
1082,italians,5923,998090,992167
1083,consecrated,2199,997998,995799
1084,indicator,17488,997976,980488
1085,stimuli,173424,997717,824293
1086,relaxed,3595,997668,994073
1087,presumption,9839,997260,987421
1088,disputed,7393,996929,989536
1089,solicitor,15091,996883,981792
1090,bitterly,1656,996753,995097
1091,censure,1203051,996702,206349
1092,345,451331,996589,545258
1093,toronto,385113,996417,611304
1094,chicken,10839,996383,985544
1095,supplying,8235,996093,987858
1096,337,452949,995869,542920
1097,ecology,66749,995474,928725
1098,plough,5442,995424,989982
1099,unchanged,8924,994985,986061
1100,faithfully,5052,994467,989415
1101,condemnation,9383,994443,985060
1102,gentry,34595,994192,959597
1103,contrasted,6525,993984,987459
1104,nineteen,9317,993619,984302
1105,25th,8904,993607,984703
1106,exchanges,24738,993333,968595
1107,coasts,11531,993278,981747
1108,constrained,7609,993207,985598
1109,rt,260079,992885,732806
1110,ambiguous,12095,992745,980650
1111,coordination,1615039,992554,622485
1112,borrow,8695,992378,983683
1113,fred,167456,992053,824597
1114,saturated,10072,991743,981671
1115,speculative,331856,991524,659668
1116,demonstrates,11790,991295,979505
1117,discrete,433320,991284,557964
1118,sunset,8280,991215,982935
1119,beauties,3219,991069,987850
1120,lacked,4547,990859,986312
1121,professions,1729503,990669,738834
1122,21st,13286,990533,977247
1123,fascinating,5966,990121,984155
1124,basically,12150,990119,977969
1125,commanders,5405,989688,984283
1126,loch,51538,989649,938111
1127,byzantine,252023,988489,736466
1128,exceeds,9418,987923,978505
1129,resonance,440906,987867,546961
1130,forever,10608,987767,977159
1131,wiley,98209,987636,889427
1132,arbitration,58453,987237,928784
1133,convicted,10320,986914,976594
1134,authorized,25490,986840,961350
1135,resistant,563317,986821,423504
1136,compatible,544823,986801,441978
1137,climbed,1486,986734,985248
1138,sided,6583,986605,980022
1139,wires,6934,986553,979619
1140,inhibition,347933,986271,638338
1141,conform,14087,985960,971873
1142,meadow,6721,985931,979210
1143,troy,36351,985331,948980
1144,latent,252409,985308,732899
1145,offenders,12036,985299,973263
1146,immortality,6140,985121,978981
1147,lifting,11753,985115,973362
1148,metre,1862748,985023,877725
1149,uneasy,3969,984971,981002
1150,nut,22549,984937,962388
1151,dock,68043,984610,916567
1152,patches,6233,984601,978368
1153,signify,4468,984226,979758
1154,1877,1021212,984200,37012
1155,lily,35750,984179,948429
1156,comprehend,3830,984173,980343
1157,investors,12957,983939,970982
1158,martyr,428015,983879,555864
1159,ok,136517,983797,847280
1160,lace,56131,983770,927639
1161,thyself,1328,983764,982436
1162,1866,1075294,983165,92129
1163,hosts,8870,983010,974140
1164,sacrificed,3744,982953,979209
1165,transient,14675,982949,968274
1166,q.v.,2330,982789,980459
1167,elimination,1080740,982396,98344
1168,m.p.,30507,982354,951847
1169,hormone,192457,982301,789844
1170,computed,20705,982155,961450
1171,contention,120481,981974,861493
1172,favours,4835,981788,976953
1173,punch,66163,981726,915563
1174,erosion,827916,981493,153577
1175,accommodate,5215,981433,976218
1176,ale,81827,981373,899546
1177,carpenter,47848,981110,933262
1178,zur,1395367,980903,414464
1179,successes,5022,980874,975852
1180,jaw,8526,980843,972317
1181,weakened,5110,980732,975622
1182,drowned,2625,980692,978067
1183,likeness,3870,980391,976521
1184,sticks,7175,980310,973135
1185,adopting,8345,980240,971895
1186,boiler,6312,980225,973913
1187,guaranteed,13161,980193,967032
1188,sank,3544,980057,976513
1189,publicity,10624,980055,969431
1190,gen,539736,979952,440216
1191,nowadays,10961,979681,968720
1192,occupying,6367,979517,973150
1193,baptist,16676,979466,962790
1194,perished,1750,979253,977503
1195,vested,9745,979250,969505
1196,petersburg,28861,979240,950379
1197,irony,10494,979157,968663
1198,331,422522,978885,556363
1199,grounded,8048,978860,970812
1200,clerical,130000,978560,848560
1201,melody,8834,978478,969644
1202,timing,22683,978363,955680
1203,agnes,358548,978246,619698
1204,coke,520203,978035,457832
1205,fletcher,53876,977947,924071
1206,muse,303163,977603,674440
1207,dome,622903,977134,354231
1208,methyl,55414,977036,921622
1209,corpse,3726,976896,973170
1210,brit,102207,976861,874654
1211,laura,127142,976809,849667
1212,hail,8433,976283,967850
1213,satellite,472257,976255,503998
1214,generating,12939,976206,963267
1215,africans,19286,976085,956799
1216,grandson,33876,975885,942009
1217,uniformity,10830,975883,965053
1218,penetration,1232761,975874,256887
1219,sincerely,6098,975869,969771
1220,wm,27090,975599,948509
1221,repeating,4653,975437,970784
1222,holdings,54572,975332,920760
1223,witch,9000,975092,966092
1224,fanny,136877,975024,838147
1225,hastened,1290,975008,973718
1226,surrendered,4255,974984,970729
1227,herd,24147,974764,950617
1228,joshua,25795,974454,948659
1229,storms,14030,974274,960244
1230,microscope,811519,974256,162737
1231,comp,445390,974196,528806
1232,engaging,4889,974159,969270
1233,bricks,44874,974010,929136
1234,compressed,6835,973954,967119
1235,emma,169814,973842,804028
1236,violently,2515,973568,971053
1237,skies,5133,973556,968423
1238,ane,652705,973525,320820
1239,spine,18236,973505,955269
1240,rewarded,2550,973366,970816
1241,arithmetic,10054,973352,963298
1242,ancients,4002,973294,969292
1243,1862,952654,973191,20537
1244,pepper,13653,973063,959410
1245,directory,50975,972623,921648
1246,curiously,3170,972575,969405
1247,directive,702726,972564,269838
1248,react,11342,972440,961098
1249,altitude,1367743,972379,395364
1250,displaced,10999,972243,961244
1251,revealing,8782,972188,963406
1252,ordination,157896,971995,814099
1253,trench,17015,971958,954943
1254,ottoman,771896,971847,199951
1255,deputies,9771,971762,961991
1256,melbourne,114827,971742,856915
1257,ammunition,6998,971711,964713
1258,qua,719842,971310,251468
1259,venetian,8390,971054,962664
1260,kirk,37709,971014,933305
1261,sweat,6909,970884,963975
1262,legally,11208,970883,959675
1263,quotations,8794,970562,961768
1264,equals,7549,970374,962825
1265,notation,463059,970087,507028
1266,doorway,1451,970041,968590
1267,1854,897729,969984,72255
1268,lattice,18024,969952,951928
1269,mess,83107,969921,886814
1270,disability,14221,969735,955514
1271,bundle,8418,969502,961084
1272,1860,1362627,969379,393248
1273,civilized,8038,969087,961049
1274,hue,285405,969071,683666
1275,pillar,7794,968956,961162
1276,potent,6779,968936,962157
1277,terminated,7266,968825,961559
1278,penetrate,5791,968746,962955
1279,astonishing,4093,968291,964198
1280,capacities,11788,968019,956231
1281,cyprus,25799,967970,942171
1282,applause,2187,967758,965571
1283,marching,2986,966626,963640
1284,crowns,5940,966440,960500
1285,leonard,675633,965956,290323
1286,dedication,6087,965661,959574
1287,hinder,7267,965462,958195
1288,highland,12860,965397,952537
1289,332,419538,964969,545431
1290,holder,31710,964905,933195
1291,365,473988,964439,490451
1292,peril,1703918,964172,739746
1293,finer,11400,964163,952763
1294,passim,289788,963807,674019
1295,attach,7223,963776,956553
1296,convergence,700966,963652,262686
1297,compete,22314,963501,941187
1298,attendants,3229,963364,960135
1299,sunlight,8525,963301,954776
1300,emerges,23133,962994,939861
1301,temperament,1198944,962414,236530
1302,weigh,3942,961889,957947
1303,rd,115409,961838,846429
1304,basal,34346,961798,927452
1305,membranes,685515,961186,275671
1306,antiquities,15832,961167,945335
1307,lenin,18879,961010,942131
1308,solidarity,20621,961002,940381
1309,insignificant,5878,960812,954934
1310,contracting,97752,960758,863006
1311,substrate,20316,960631,940315
1312,343,427467,960527,533060
1313,1859,960062,960398,336
1314,amer,664162,960343,296181
1315,1873,1036678,960102,76576
1316,leipzig,802448,960076,157628
1317,trout,16729,960009,943280
1318,nottingham,44145,959992,915847
1319,subscription,36013,959963,923950
1320,richer,133607,959935,826328
1321,trifling,1700,959717,958017
1322,1851,1073651,959599,114052
1323,bade,388979,959581,570602
1324,posture,353580,959560,605980
1325,emphasize,12817,959425,946608
1326,apartments,3739,959366,955627
1327,dominance,138793,959162,820369
1328,excluding,11465,959128,947663
1329,promptly,15531,958872,943341
